kadis,kadid-10k,sim_value
19-199047.png,I16.png,0.8510584235191345
400500-1343636.png,I08.png,0.7863936424255371
a-1582554.png,I68.png,0.846603274345398
a-birds-eye-view-625780.png,I33.png,0.8192755579948425
a-bock-658023.png,I74.png,0.7483736276626587
a-female-deer-600141.png,I57.png,0.7440235614776611
a-flaming-sunset-1511735.png,I25.png,0.8584579229354858
a-flower-of-a-parsley-878817.png,I77.png,0.7900146245956421
a-m-1119158.png,I21.png,0.8101629614830017
a-motorcycle-381361.png,I64.png,0.7946321964263916
a-surname-1594126.png,I25.png,0.825875997543335
a-zubron-600143.png,I74.png,0.7528247833251953
aachen-1137794.png,I15.png,0.8547847867012024
aachen-438371.png,I73.png,0.8413245677947998
aachen-90603.png,I15.png,0.8968003392219543
aargau-83384.png,I62.png,0.8242216110229492
abandoned-1596853.png,I63.png,0.7935696244239807
abandoned-2340.png,I80.png,0.759475827217102
abandoned-house-1234401.png,I21.png,0.8304111957550049
abandoned-place-1682726.png,I21.png,0.8528971076011658
abandoned-place-1682774.png,I80.png,0.7897452116012573
abbaye-de-senanque-1460355.png,I62.png,0.8333985209465027
abbaye-de-senanque-1460356.png,I17.png,0.8235858678817749
abbaye-de-senanque-1460364.png,I62.png,0.8513442873954773
abbaye-de-senanque-1469724.png,I62.png,0.8305557370185852
abbaye-de-senanque-1469733.png,I62.png,0.816852867603302
abbaye-de-senanque-1469744.png,I62.png,0.8484688997268677
abbaye-de-senanque-1595627.png,I17.png,0.8353620171546936
abbaye-de-senanque-1595651.png,I62.png,0.8266279101371765
abbaye-de-senanque-1595654.png,I17.png,0.8212480545043945
abbey-1701305.png,I15.png,0.8611572980880737
abbey-215342.png,I02.png,0.8308933973312378
abbey-516142.png,I02.png,0.8347879648208618
abbey-977719.png,I62.png,0.827652096748352
abbey-church-1460374.png,I02.png,0.8931509852409363
abbey-church-1460377.png,I62.png,0.8353894948959351
abbey-church-233145.png,I62.png,0.851214587688446
abbey-marie-259318.png,I02.png,0.867175817489624
abbey-of-good-rest-1651813.png,I02.png,0.8799328207969666
abbey-san-galliano-672011.png,I02.png,0.8686208724975586
abdomen-1140719.png,I68.png,0.7687913775444031
abendstimmung-1331451.png,I09.png,0.8354045152664185
abendstimmung-1630872.png,I25.png,0.8147099018096924
abendstimmung-198564.png,I25.png,0.8759211301803589
abendstimmung-210992.png,I11.png,0.8277586102485657
abendstimmung-248531.png,I25.png,0.8070458769798279
abendstimmung-367661.png,I25.png,0.8054555654525757
abendstimmung-475390.png,I11.png,0.7998541593551636
abendstimmung-51782.png,I25.png,0.7946938276290894
abendstimmung-51794.png,I25.png,0.8074777722358704
abendstimmung-51800.png,I25.png,0.7833421230316162
